2018.07.16 20:35:56 GET http://127.0.0.1:8000/country/ 40.42 ms
2018.07.16 20:35:56 GET http://127.0.0.1:8000/country/ 11.44 ms
2018.07.16 20:36:09 GET http://127.0.0.1:8000/country/14/ 5.7 ms
2018.07.16 20:36:44 GET http://127.0.0.1:8000/shoptype/ 10.9 ms
2018.07.16 20:37:51 GET http://127.0.0.1:8000/shoptype/ 10.79 ms
2018.07.16 20:38:06 GET http://127.0.0.1:8000/shoptype/6/ 8.43 ms
2018.07.16 20:38:12 GET http://127.0.0.1:8000/shop/ 55.64 ms
2018.07.16 20:38:46 GET http://127.0.0.1:8000/shop/14/ 19.91 ms
2018.07.16 20:39:08 GET http://127.0.0.1:8000/shop/add 106.72 ms
2018.07.16 20:39:12 GET http://127.0.0.1:8000/shop/test 92.48 ms
2018.07.16 20:41:42 GET http://127.0.0.1:8000/shop/test 45.69 ms
2018.07.16 20:41:45 GET http://127.0.0.1:8000/shop/test 44.24 ms
2018.07.16 20:41:50 GET http://127.0.0.1:8000/shop/mess 7.16 ms
2018.07.16 20:42:24 GET http://127.0.0.1:8000/show_messages 6.91 ms
2018.07.16 20:42:40 GET http://127.0.0.1:8000/message-form 18.15 ms
2018.07.16 20:43:06 POST http://127.0.0.1:8000/message-form 13.55 ms
2018.07.16 20:45:12 POST http://127.0.0.1:8000/message-form 47.77 ms
2018.07.16 20:45:14 POST http://127.0.0.1:8000/message-form 11.8 ms
2018.07.16 20:45:26 POST http://127.0.0.1:8000/message-form 10.61 ms
2018.07.16 20:45:52 POST http://127.0.0.1:8000/message-form 44.84 ms
2018.07.16 20:46:20 GET http://127.0.0.1:8000/shop/ 55.81 ms
2018.07.16 20:46:22 GET http://127.0.0.1:8000/shop/9/ 22.02 ms
2018.07.16 20:47:43 GET http://127.0.0.1:8000/shop/9/ 48.4 ms
2018.07.16 20:48:04 GET http://127.0.0.1:8000/shoptype/1/ 8.99 ms
2018.07.16 20:48:17 GET http://127.0.0.1:8000/shop/ 55.44 ms
2018.07.16 20:48:27 GET http://127.0.0.1:8000/shop/ 52.25 ms
2018.07.16 20:48:52 GET http://127.0.0.1:8000/shop/ 78.09 ms
2018.07.16 20:49:21 GET http://127.0.0.1:8000/shop/ 71.22 ms
2018.07.16 20:49:29 GET http://127.0.0.1:8000/shop/9/ 25.81 ms
2018.07.16 20:49:45 GET http://127.0.0.1:8000/shoptype/1/ 38.55 ms
2018.07.16 20:51:13 GET http://127.0.0.1:8000/shoptype/1/ 23.94 ms
2018.07.16 21:24:39 GET http://127.0.0.1:8000/shoptype/1/ 31.33 ms
2018.07.16 21:25:48 admin GET http://127.0.0.1:8000/shoptype/1/ 34.44 ms
2018.07.16 21:25:58 admin GET http://127.0.0.1:8000/shoptype/1/ 5.28 ms
2018.07.16 21:27:45 admin GET http://127.0.0.1:8000/shoptype/1/ 8.11 ms
2018.07.16 21:27:54 admin GET http://127.0.0.1:8000/shop/ 110.36 ms
2018.07.16 21:28:27 admin GET http://127.0.0.1:8000/shop/ 80.53 ms
2018.07.16 21:28:29 admin GET http://127.0.0.1:8000/shop/ 52.64 ms
2018.07.16 21:34:28 admin GET http://127.0.0.1:8000/shoptype/1/ 63.99 ms
2018.07.16 21:34:41 admin GET http://127.0.0.1:8000/city/2/ 9.79 ms
2018.07.16 21:45:11 admin GET http://127.0.0.1:8000/city/2/ 21.84 ms
2018.07.16 21:45:31 admin GET http://127.0.0.1:8000/main/ 5.63 ms
2018.07.16 21:45:34 admin GET http://127.0.0.1:8000/shop/ 56.16 ms
2018.07.16 21:45:42 admin GET http://127.0.0.1:8000/shop/14/ 23.84 ms
2018.07.17 11:57:02 admin GET http://127.0.0.1:8000/main/ 30.18 ms
2018.07.17 11:57:05 admin GET http://127.0.0.1:8000/shop/ 58.08 ms
2018.07.17 12:16:02 admin GET http://127.0.0.1:8000/person/3/ 25.9 ms
2018.07.17 12:35:11 admin GET http://127.0.0.1:8000/test 8.4 ms
2018.07.17 12:35:12 admin GET http://127.0.0.1:8000/favicon.ico 6.45 ms
2018.07.17 12:35:17 admin GET http://127.0.0.1:8000/shop/ 56.15 ms
2018.07.17 12:35:20 admin GET http://127.0.0.1:8000/shop/test 108.15 ms
2018.07.17 12:35:38 admin GET http://127.0.0.1:8000/main/ 4.93 ms
2018.07.17 13:06:18 admin GET http://127.0.0.1:8000/message-form 75.48 ms
2018.07.17 13:06:28 admin POST http://127.0.0.1:8000/message-form 13.27 ms
2018.07.17 13:08:26 admin POST http://127.0.0.1:8000/message-form 13.47 ms
2018.07.17 13:13:07 admin POST http://127.0.0.1:8000/message-form 55.37 ms
2018.07.17 14:16:31 admin POST http://127.0.0.1:8000/message-form 44.38 ms
2018.07.17 14:16:34 admin POST http://127.0.0.1:8000/message-form 11.48 ms
2018.07.17 14:16:42 admin POST http://127.0.0.1:8000/message-form 41.77 ms
2018.07.17 14:16:51 admin POST http://127.0.0.1:8000/message-form 33.14 ms
2018.07.17 14:19:03 admin GET http://127.0.0.1:8000/message-form 30.77 ms
2018.07.17 14:19:10 admin POST http://127.0.0.1:8000/message-form 13.49 ms
2018.07.17 14:20:39 admin POST http://127.0.0.1:8000/message-form 33.35 ms
2018.07.17 14:20:45 admin POST http://127.0.0.1:8000/message-form 12.28 ms
2018.07.17 14:30:54 admin POST http://127.0.0.1:8000/message-form 46.64 ms
2018.07.17 14:30:55 admin POST http://127.0.0.1:8000/message-form 13.59 ms
2018.07.17 14:30:56 admin POST http://127.0.0.1:8000/message-form 13.05 ms
2018.07.17 14:30:57 admin POST http://127.0.0.1:8000/message-form 16.7 ms
2018.07.17 14:30:58 admin POST http://127.0.0.1:8000/message-form 13.9 ms
2018.07.17 14:30:59 admin POST http://127.0.0.1:8000/message-form 13.43 ms
